OverallQual,GrLivArea,GarageCars,YearBuilt,GarageArea,ExterQual_TA,FullBath,TotalBsmtSF,YearRemodAdd,KitchenQual_TA,ExterQual_Gd,Foundation_PConc,1stFlrSF,TotRmsAbvGrd,BsmtQual_TA,HeatingQC_Ex,BsmtFinType1_GLQ,GarageFinish_Unf,OpenPorchSF,FireplaceQu_NA,KitchenQual_Gd,BsmtQual_Ex,Fireplaces,MasVnrArea,GarageType_Attchd,GarageType_Detchd,MasVnrType_None,BsmtQual_Gd,KitchenQual_Ex,GarageFinish_Fin,Exterior1st_VinylSd,Exterior2nd_VinylSd,HeatingQC_TA,Foundation_CBlock,GarageCond_TA,Neighborhood_NridgHt,CentralAir_N,CentralAir_Y,MasVnrType_Stone,MSZoning_RM,WoodDeckSF,LotFrontage,HalfBath,2ndFlrSF,GarageYrBlt,BsmtFinSF1,FireplaceQu_Gd,SaleType_New,GarageQual_TA,HouseStyle_2Story,LotArea,SaleCondition_Partial
5,6.7033552458397345,1.0,1962,352.0,1,1,540.260452300702,1962,1,0,0,5.133073230968317,1.6649086512703615,1,0,0,1,0.0,1,0,0,0.0,0.0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,37.891151735502106,32.12508606620915,0.0,0.0,1962.0,160.00445393499362,0,0,1,0,65.41711810936586,0
7,7.179607900744288,3.0,2006,840.0,0,2,846.6192611536908,2007,0,1,1,5.39876249534343,2.1726584790821972,0,1,0,0,9.016898754120316,0,1,0,0.909676106356333,26.096701763785866,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,41.48426783487645,38.47808685168297,0.0,0.0,2006.0,0.0,1,1,1,0,61.1291280259165,1
6,7.009974754651142,1.0,1960,352.0,1,1,721.3794510219117,1960,1,0,0,5.305367613954625,1.8606870883213031,1,0,0,0,24.296304719985002,0,0,0,0.909676106356333,21.871690464054172,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0.0,32.12508606620915,1.1280955051328556,0.0,1960.0,159.37406422707608,0,0,1,0,61.65552633217901,0
7,6.639881735984249,2.0,1929,576.0,1,1,496.9456677914574,2001,1,0,0,5.096838656074678,1.8606870883213031,1,1,0,1,17.454197549106453,1,0,0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,18.14450715562387,24.596081629022787,0.0,0.0,1991.0,0.0,0,0,1,0,50.440553059518024,0
6,6.796164297369746,2.0,1970,480.0,1,1,589.6503794855321,1970,1,0,0,5.185701740956625,1.8606870883213031,1,1,0,0,0.0,0,0,0,0.909676106356333,20.19861732319577,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0,32.12508606620915,0.0,0.0,1970.0,134.13117551702027,0,0,1,0,62.27473604299256,0
4,7.04252119021303,2.0,1967,516.0,1,2,0.0,1967,1,0,0,5.323392026082355,2.0273854736078607,0,0,0,1,0.0,1,0,0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0,32.12508606620915,0.0,0.0,1967.0,0.0,0,0,1,0,61.403243505981,0
5,6.896521961177415,2.0,2004,576.0,1,1,648.1705941534864,2004,0,0,1,5.242142758813467,2.0273854736078607,1,1,1,1,16.62096765339943,1,1,0,0.0,0.0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0.0,30.036537346547124,1.1280955051328556,0.0,2004.0,145.41267808521548,0,0,1,0,66.65592997772852,0
5,7.074000850846509,1.0,1958,294.0,1,1,602.9992712837616,1965,1,0,0,5.340777935779056,2.0273854736078607,1,0,0,1,0.0,1,0,0,0.0,0.0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0.0,31.43381684215575,0.0,0.0,1958.0,121.42265648261485,0,0,1,0,54.28807574172291,0
8,7.626380087981057,3.0,2005,853.0,0,3,671.429537819563,2006,0,1,1,5.263043024492834,2.4172435844997704,0,1,0,0,20.58473787683714,0,1,1,0.909676106356333,28.932277881166037,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,54.55228256268072,41.68818340218591,1.1280955051328556,1873.8453950697108,2005.0,0.0,1,1,1,1,67.51517980673806,1
7,6.891309827832808,1.0,1930,280.0,1,1,389.6861168483359,1950,0,0,1,5.239223374337373,2.0273854736078607,1,1,0,1,0.0,0,1,0,0.909676106356333,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0.0,26.813705659934467,0.0,0.0,1930.0,0.0,1,0,1,0,54.00996308763827,0
8,7.356464449853873,2.0,2002,534.0,0,2,991.3780954090362,2002,0,1,1,5.494699852026556,2.1726584790821972,0,1,0,0,20.92565334089232,0,1,0,0.909676106356333,25.053347364122097,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,43.39500521190203,33.15324634271306,0.0,0.0,2002.0,0.0,1,0,1,0,59.27244546095519,0
5,6.848563034270379,2.0,1976,572.0,1,1,608.8634472937094,1976,1,0,1,5.215231156024271,2.0273854736078607,0,0,1,1,17.290783417285095,0,0,0,0.909676106356333,0.0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,30.125251289307624,21.926436321171263,0.0,0.0,1976.0,175.9253228897026,0,0,1,0,44.30315555664352,0
5,6.848563034270379,1.0,1968,270.0,1,1,619.5112530045268,2001,0,0,0,5.215231156024271,2.0273854736078607,1,1,0,1,15.56218055771139,0,1,0,0.909676106356333,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,77.62857732885087,32.12508606620915,0.0,0.0,1968.0,59.12870807948855,0,0,1,0,55.94877382091617,0
8,7.245671917544751,3.0,2007,890.0,0,2,883.6671666548856,2007,0,1,1,5.434769750219358,2.1726584790821972,0,1,0,0,12.075273386939752,0,1,0,0.909676106356333,36.982463664587584,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0.0,44.51085856935946,0.0,0.0,2007.0,0.0,1,0,1,0,67.5396504238238,0
5,6.690561873066603,2.0,1951,576.0,1,1,533.7859065829775,2000,0,0,0,5.125785794654783,1.8606870883213031,1,0,0,1,8.861837130863982,1,1,0,0.0,0.0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,51.761097334623685,27.900934451158626,0.0,0.0,2005.0,69.40681590487638,0,0,1,0,53.37581303743654,0
8,7.306348797778309,3.0,2007,772.0,0,2,954.2515919747328,2008,0,1,1,5.46766169519143,2.1726584790821972,0,1,1,0,11.352900639672866,0,1,1,0.909676106356333,21.261919607803232,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0.0,40.733717343960066,0.0,0.0,2008.0,230.25904898003617,1,0,1,0,62.72433447604817,0
5,7.245671917544751,1.0,1957,319.0,1,1,841.4610939318853,1997,1,0,0,5.434769750219358,2.0273854736078607,1,0,0,0,26.771980612628624,0,0,0,1.7079350940324136,0.0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,61.667931652061185,23.082352186612248,0.0,0.0,1957.0,238.27904976449415,1,0,1,0,70.79404475926283,0
4,7.058023909933908,1.0,1920,250.0,1,1,396.364701358661,1950,1,0,0,4.94322933371922,2.0273854736078607,1,0,0,1,11.839174814751606,1,0,0,0.0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,24.220447103122172,0.0,985.5769356595345,1920.0,0.0,0,0,1,1,56.540101926522944,0
5,6.99053279796722,1.0,1966,271.0,1,1,708.269063691218,2006,0,0,0,5.2945765585891795,2.0273854736078607,1,0,0,1,13.086865764249547,1,1,0,0.0,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,32.12508606620915,1.1280955051328556,0.0,1966.0,0.0,0,0,1,0,56.641327061264626,0
8,6.9952348753440905,2.0,2007,484.0,0,2,711.4177423412941,2007,0,1,1,5.297188044202038,2.1726584790821972,0,1,0,0,8.54404799388593,1,1,1,0.0,0.0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0.0,36.51055712991193,0.0,0.0,2007.0,0.0,0,0,1,0,61.90581687137767,0
5,7.304084674591515,2.0,1959,447.0,1,1,796.9684067879147,1959,0,0,0,5.466437421295361,2.0273854736078607,1,0,0,0,9.758150973632203,0,1,0,0.909676106356333,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,31.43381684215575,1.1280955051328556,0.0,1959.0,202.21392347030056,1,0,1,0,60.9304343597507,0
9,7.221890884070691,2.0,2005,556.0,0,2,881.099459356564,2005,0,0,1,5.421831710264626,2.0273854736078607,0,1,1,0,10.974752313726023,0,0,1,0.909676106356333,23.50169611368731,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,48.729743887314854,27.900934451158626,0.0,0.0,2005.0,221.29648142743793,1,0,1,0,53.6653947000425,0
8,7.656665846212883,3.0,2004,691.0,0,3,649.7590378738769,2005,0,1,1,5.250799454326759,2.4172435844997704,0,1,0,0,8.861837130863982,0,1,1,0.909676106356333,17.34266662583319,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,32.74863729415264,43.888670544591676,1.1280955051328556,2042.1972599038527,2004.0,0.0,1,0,1,1,66.18924844605806,0
5,6.881680224252612,2.0,1994,672.0,1,1,639.1620641909792,1995,1,0,1,5.2338262813879055,2.0273854736078607,0,1,0,1,12.978242040026617,1,0,0,0.0,0.0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,75.82704119988071,45.13026778159834,1.1280955051328556,0.0,1995.0,0.0,0,0,1,0,61.536480520041984,0
5,7.043265116666564,2.0,1954,498.0,1,1,744.396574167849,1990,1,0,0,5.323803430243284,1.8606870883213031,1,0,0,0,0.0,0,0,0,0.909676106356333,37.251470390456554,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.0,32.811665925625974,0.0,0.0,1954.0,229.57445298567825,0,0,1,0,56.613754968366536,0
5,6.845827184602717,1.0,1953,246.0,1,1,617.915249695419,2007,0,0,0,5.2136926343280265,1.8606870883213031,1,0,1,1,11.598473463501287,1,1,0,0.0,0.0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0.0,30.737692722831856,0.0,0.0,1953.0,159.05850892607523,0,0,1,0,55.176464423321924,0
4,6.928891573194934,0.0,1955,0.0,1,2,0.0,1955,0,0,1,5.260244286217405,2.0273854736078607,0,0,0,0,0.0,1,0,0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,29.684014605581073,0.0,0.0,0.0,0.0,0,0,0,0,50.20969955022303,0
6,7.063136370396062,2.0,1965,440.0,1,2,634.3877361757329,1965,1,0,0,5.334782883987135,2.0273854736078607,1,1,0,0,19.45269982526428,0,0,0,0.909676106356333,15.175883953162884,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,36.17936985649286,0.0,0.0,1965.0,144.9221998904841,0,0,1,0,56.90197491162198,0
5,7.0660456037987585,1.0,1959,308.0,1,1,772.0282397031871,1959,1,0,0,5.336388754191977,1.8606870883213031,1,0,0,0,16.790938448695947,0,0,0,1.7079350940324136,0.0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0.0,46.0543047010285,1.1280955051328556,0.0,1959.0,194.8235316661759,1,0,1,0,71.65248104680174,0
5,6.673235076323778,2.0,1983,504.0,1,1,501.29355571445495,1983,0,0,0,5.1159032914765135,1.8606870883213031,0,0,0,0,0.0,1,1,0,0.0,0.0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,54.55228256268072,30.212307951929073,0.0,0.0,1983.0,161.57626166271075,0,0,1,0,58.06691668095243,0
5,6.730504092756183,1.0,1975,308.0,1,1,554.2623443690859,1980,1,0,0,5.148511545842186,1.8606870883213031,0,0,0,1,0.0,1,0,0,0.0,0.0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,38.80494319100828,31.43381684215575,0.0,0.0,1977.0,79.13299033491343,0,0,1,0,58.110655820436975,0
5,6.927214817146608,1.0,1959,300.0,1,1,667.2066781917076,1959,1,0,0,5.259307852089599,2.0273854736078607,1,1,0,0,0.0,1,0,0,0.0,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,31.43381684215575,0.0,0.0,1959.0,57.03943073736767,0,0,1,0,55.23198051870361,0
9,7.333109430725208,2.0,2005,576.0,0,2,978.6793785605248,2005,0,0,1,5.482113918722278,2.0273854736078607,0,1,1,0,14.814530229174839,0,0,1,0.909676106356333,30.062481707855145,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,47.58880489093013,28.26036926623412,0.0,0.0,2005.0,112.90024995133513,1,0,1,0,54.53134782445942,0
7,7.529762279407623,2.0,2003,670.0,0,1,815.6225649821031,2003,0,1,1,5.4071530693988885,2.0273854736078607,0,1,1,0,10.450472605310807,0,1,1,0.909676106356333,0.0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,42.878151740435506,23.463629356621645,1.1280955051328556,927.3061715958495,2003.0,248.1931182693456,0,0,1,0,65.16274622717538,0
8,7.2788201024983,3.0,2006,826.0,0,2,929.7614082954268,2006,0,1,1,5.452760038173501,2.1726584790821972,0,1,1,0,20.026898863770192,1,1,0,0.0,0.0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0.0,36.17936985649286,0.0,0.0,2006.0,12.712638759312473,0,0,1,0,61.9965204513601,0
5,6.747849820685588,1.0,1966,386.0,1,1,563.3983908230767,1966,1,0,0,5.158356532287938,2.0273854736078607,1,1,0,1,0.0,1,0,0,0.0,0.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,30.036537346547124,0.0,0.0,1966.0,164.07898370592085,0,0,1,0,54.73820926706365,0
6,7.163996905189068,2.0,1997,388.0,1,2,476.24081757365207,1997,1,0,1,5.056426476544851,2.0273854736078607,0,0,1,0,14.128286220658673,1,0,0,0.0,0.0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0.0,28.974955343496365,0.0,998.2062007406583,1997.0,57.739037545373826,0,0,1,1,66.94584877305032,0
6,6.9487877208736295,2.0,1934,528.0,1,1,488.23849682688814,1950,1,0,1,5.071618021169725,2.0273854736078607,1,0,0,1,0.0,0,0,0,0.909676106356333,0.0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,32.55060978244508,24.969925833376298,0.0,0.0,1985.0,0.0,1,0,1,0,50.783066295723145,0
5,6.595904080066047,2.0,1963,516.0,0,1,488.23849682688814,1963,1,0,0,5.071618021169725,1.8606870883213031,0,0,0,1,0.0,1,0,0,0.0,0.0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,31.349573169122213,44.51085856935946,0.0,0.0,1963.0,38.24454560710658,0,0,1,0,56.47550271260563,0
5,7.089007546206176,2.0,1955,572.0,1,1,245.76208594199954,1955,1,0,0,5.34904950697406,2.0273854736078607,1,0,0,1,11.352900639672866,0,0,0,0.909676106356333,0.0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0.0,27.900934451158626,0.0,0.0,1962.0,99.62706730350429,0,0,1,0,53.20526355283549,0
8,7.325935168699485,2.0,1999,480.0,0,2,571.4473842737306,2000,0,1,1,5.174163921202349,2.1726584790821972,0,1,1,0,0.0,1,1,0,0.0,31.539331797137628,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,33.14291845246741,13.621284227415174,1.1280955051328556,1125.056651040811,1999.0,145.90252012042447,0,0,1,1,37.550882092035195,0
7,7.315352222971093,2.0,2004,565.0,0,2,512.1469717344941,2004,0,1,1,5.10070919868337,2.1726584790821972,0,1,0,0,13.617317386962316,1,1,0,0.0,0.0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0.0,37.82588848811373,1.1280955051328556,1291.3621720810797,2004.0,0.0,0,0,1,1,63.037411245190754,0
5,6.5523021031303745,1.0,1972,352.0,1,1,468.59030458108043,1972,1,0,0,5.046519127642636,1.6649086512703615,1,1,0,1,0.0,1,0,0,0.0,0.0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,47.58880489093013,27.900934451158626,0.0,0.0,1973.0,143.1182753695193,0,0,1,0,53.37581303743654,0
6,6.933904359891257,2.0,2004,576.0,1,1,671.429537819563,2004,0,0,1,5.263043024492834,1.8606870883213031,0,1,0,1,11.352900639672866,1,1,0,0.0,0.0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0.0,28.974955343496365,1.1280955051328556,0.0,2006.0,191.01407735857535,0,1,1,0,65.59714462024581,1
5,6.893919427234879,1.0,1920,288.0,1,1,329.60181964294236,1996,0,0,0,4.880258749302289,2.0273854736078607,1,0,0,1,0.0,1,0,0,0.0,0.0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0.0,27.900934451158626,0.0,769.4999778041288,1935.0,0.0,0,0,1,0,53.37581303743654,0
8,7.0960719959698135,2.0,2006,484.0,0,2,782.4295732098004,2006,0,1,1,5.352939697330562,2.0273854736078607,0,1,1,0,11.228196188239414,0,1,0,0.909676106356333,20.088747153393776,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,34.11858709833905,21.926436321171263,0.0,0.0,2006.0,12.712638759312473,1,0,1,0,51.349781601678096,0
7,7.309734993515538,2.0,1921,480.0,1,2,355.55532888343475,1950,1,0,0,5.127007671746529,2.4172435844997704,1,0,0,1,4.707663691110701,1,0,0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,6.695442004071454,24.220447103122172,0.0,1208.0219099622682,1990.0,0.0,0,0,1,1,60.42405763243318,0
8,7.664868089468697,3.0,2004,852.0,0,2,663.5094945297449,2005,0,1,1,5.256016341002201,2.4172435844997704,0,1,0,0,20.3773807100173,0,1,1,0.909676106356333,27.59540940548458,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,46.9306141589486,33.49371205554868,1.1280955051328556,2058.7526439944695,2004.0,0.0,1,0,1,1,58.95322661351576,0
7,7.555390760504372,2.0,1970,576.0,1,2,1077.3127074015147,1989,1,0,0,5.600884655498621,2.1726584790821972,0,0,1,0,0.0,0,0,0,0.909676106356333,25.308319891041844,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,63.52346135353416,32.12508606620915,0.0,0.0,1970.0,186.73016297636272,1,0,1,0,75.76764957917548,0
7,7.169880821385878,2.0,2003,558.0,0,2,825.4506651177838,2003,0,1,1,5.393443653649693,2.1726584790821972,0,1,1,0,8.381067788697923,1,1,0,0.0,19.471826973857453,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,38.623052601509535,32.12508606620915,0.0,0.0,2003.0,201.49402997292708,0,0,1,0,61.154866123941844,0
4,6.510521431009633,1.0,1945,220.0,1,1,450.5073012764442,1950,1,0,0,5.022380801013186,1.6649086512703615,1,0,0,1,0.0,1,0,0,0.0,0.0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0.0,23.082352186612248,0.0,0.0,1945.0,0.0,0,0,1,0,45.676946079897476,0
7,7.589651703989687,2.0,1953,667.0,0,2,748.05181268433,1953,1,1,0,5.326673642468597,2.1726584790821972,1,0,0,0,6.957385873920329,0,0,0,0.909676106356333,0.0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0.0,35.1799338854262,0.0,1489.8687057144452,1953.0,138.31978512430908,0,0,1,0,69.69456637553371,0
4,6.629646100008519,2.0,1982,360.0,1,1,504.0090810572905,2006,1,0,0,5.090977104559806,1.6649086512703615,1,0,0,1,0.0,1,0,0,0.0,0.0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0.0,31.08637240142063,0.0,0.0,1987.0,131.9331444719484,0,0,1,0,54.385140178329436,0
5,6.871953181043822,2.0,1954,490.0,1,1,633.3262898489899,2003,1,0,0,5.228370061145084,2.0273854736078607,1,0,0,1,0.0,1,0,0,0.0,15.400411653894965,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,36.51055712991193,0.0,0.0,1989.0,87.23165730774794,0,0,1,0,60.22081001847182,0
4,6.744811448322598,1.0,1956,283.0,1,1,561.7872242679124,1956,1,0,0,5.156633085114839,1.6649086512703615,1,1,0,1,0.0,1,0,0,0.0,0.0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0.0,32.12508606620915,0.0,0.0,1956.0,68.10050779139914,0,0,1,0,56.482430904013675,0
5,7.034299744371711,1.0,1948,240.0,1,1,409.13430921985235,2001,1,0,0,5.221338280178853,2.0273854736078607,1,0,0,1,0.0,1,0,0,0.0,0.0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0.0,24.220447103122172,0.0,290.39312256706035,1948.0,90.3907449709926,0,0,1,0,56.849574351277944,0
4,7.341866249635396,0.0,1968,0.0,1,2,986.8084328775188,1968,1,0,0,5.486835889715352,2.3014743180824713,1,0,0,0,0.0,1,0,0,0.0,0.0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0,32.12508606620915,0.0,0.0,0.0,0.0,0,0,0,0,61.377707611319934,0
5,6.992102715453682,2.0,1910,440.0,1,1,278.2113120773898,1981,1,0,1,4.971253069930892,1.8606870883213031,1,0,0,1,0.0,1,0,0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,24.498598889489042,27.900934451158626,1.1280955051328556,797.4804408915749,1966.0,0.0,0,0,1,1,60.706391389752355,0
6,7.5266223056948,1.0,1968,509.0,1,2,531.6259929850385,1968,0,0,0,5.2740825153209405,2.3014743180824713,0,0,0,0,13.823927222697252,0,1,0,0.909676106356333,35.20243785373562,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0.0,41.37081286755163,1.1280955051328556,1452.61022424144,1968.0,111.45601106744161,1,0,1,1,65.47261376131026,0
6,7.0725593351620395,2.0,1998,405.0,1,2,712.991561571792,1998,1,0,1,5.339982824106816,1.8606870883213031,0,1,1,0,23.470541577480418,1,0,1,0.0,31.111589117971366,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0.0,17.09056881562083,0.0,0.0,1998.0,227.92819276623214,0,0,1,0,45.29858782851887,0
8,7.223124867806198,3.0,2007,758.0,1,2,882.1266315080069,2007,0,0,1,5.422503706272705,2.0273854736078607,0,1,1,0,16.362692755206197,0,1,0,0.909676106356333,31.92817671888326,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,38.623052601509535,34.17137102823104,0.0,0.0,2007.0,16.207592847938187,1,0,1,0,60.23304249318972,0
5,6.853105554641798,2.0,1960,461.0,1,1,622.1703506480292,1960,1,0,0,5.21778487500346,2.0273854736078607,1,0,0,1,0.0,1,0,0,0.0,12.223516720071311,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,24.498598889489042,34.8447810963252,1.1280955051328556,0.0,1974.0,0.0,0,0,1,0,57.42985901430209,0
7,7.166616432761844,2.0,1995,400.0,1,2,245.76208594199954,1996,1,0,1,5.0633876794814245,2.1726584790821972,0,0,0,0,13.823927222697252,0,0,0,0.909676106356333,6.773796418174704,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,34.11858709833905,28.974955343496365,1.1280955051328556,988.7332641902403,1995.0,0.0,0,0,1,0,56.60915708978502,0
